"text","player"
"Legitimate Edgar, I must have your land.","EDMUND"
"Our father's love is to the bastard Edmund","EDMUND"
"As to th' legitimate. Fine word, ""legitimate.""","EDMUND"
"Well, my legitimate, if this letter speed","EDMUND"
"And my invention thrive, Edmund the base","EDMUND"
"Shall top th' legitimate. I grow, I prosper.","EDMUND"
"Now, gods, stand up for bastards!","EDMUND"
"Kent banished thus? And France in choler parted?","GLOUCESTER"
"And the King gone tonight, prescribed his power,","GLOUCESTER"
"Confined to exhibition? All this done","GLOUCESTER"
"Upon the gad?--Edmund, how now? What news?","GLOUCESTER"
"  So please your Lordship, none. ","EDMUND"
"  Why so earnestly seek you to put up that","GLOUCESTER"
"letter?","GLOUCESTER"
"  I know no news, my lord.","EDMUND"
"  What paper were you reading?","GLOUCESTER"
"  Nothing, my lord.","EDMUND"
"  No? What needed then that terrible dispatch","GLOUCESTER"
"of it into your pocket? The quality of nothing","GLOUCESTER"
"hath not such need to hide itself. Let's see. Come, if","GLOUCESTER"
"it be nothing, I shall not need spectacles.","GLOUCESTER"
"  I beseech you, sir, pardon me. It is a letter","EDMUND"
"from my brother that I have not all o'erread; and","EDMUND"
"for so much as I have perused, I find it not fit for","EDMUND"
"your o'erlooking.","EDMUND"
"  Give me the letter, sir.","GLOUCESTER"
"  I shall offend either to detain or give it. The","EDMUND"
"contents, as in part I understand them, are to","EDMUND"
"blame.","EDMUND"
"  Let's see, let's see.","GLOUCESTER"
"  I hope, for my brother's justification, he","EDMUND"
"wrote this but as an essay or taste of my virtue.","EDMUND"
"   This policy and reverence of age","GLOUCESTER"
"makes the world bitter to the best of our times, keeps","GLOUCESTER"
"our fortunes from us till our oldness cannot relish","GLOUCESTER"
"them. I begin to find an idle and fond bondage in the","GLOUCESTER"
"oppression of aged tyranny, who sways not as it hath","GLOUCESTER"
"power but as it is suffered. Come to me, that of this I","GLOUCESTER"
"may speak more. If our father would sleep till I waked","GLOUCESTER"
"him, you should enjoy half his revenue forever and","GLOUCESTER"
"live the beloved of your brother. 	Edgar.","GLOUCESTER"
"Hum? Conspiracy? ""Sleep till I wake him, you","GLOUCESTER"
"should enjoy half his revenue."" My son Edgar! Had","GLOUCESTER"
"he a hand to write this? A heart and brain to breed it","GLOUCESTER"
"in?--When came you to this? Who brought it?","GLOUCESTER"
"  It was not brought me, my lord; there's the","EDMUND"
"cunning of it. I found it thrown in at the casement","EDMUND"
"of my closet.","EDMUND"
"  You know the character to be your","GLOUCESTER"
"brother's?","GLOUCESTER"
"  If the matter were good, my lord, I durst","EDMUND"
"swear it were his; but in respect of that, I would","EDMUND"
"fain think it were not.","EDMUND"
"  It is his.","GLOUCESTER"
"  It is his hand, my lord, but I hope his heart is","EDMUND"
"not in the contents.","EDMUND"
"  Has he never before sounded you in this","GLOUCESTER"
"business?","GLOUCESTER"
"  Never, my lord. But I have heard him oft","EDMUND"
"maintain it to be fit that, sons at perfect age and","EDMUND"
"fathers declined, the father should be as ward to the","EDMUND"
"son, and the son manage his revenue.","EDMUND"
"  O villain, villain! His very opinion in the","GLOUCESTER"
"letter. Abhorred villain! Unnatural, detested, brutish","GLOUCESTER"
"villain! Worse than brutish!--Go, sirrah, seek","GLOUCESTER"
"him. I'll apprehend him.--Abominable villain!--","GLOUCESTER"
"Where is he?","GLOUCESTER"
"  I do not well know, my lord. If it shall please","EDMUND"
"you to suspend your indignation against my brother","EDMUND"
"till you can derive from him better testimony of his","EDMUND"
"intent, you should run a certain course; where, if","EDMUND"
"you violently proceed against him, mistaking his","EDMUND"
"purpose, it would make a great gap in your own","EDMUND"
"honor and shake in pieces the heart of his obedience.","EDMUND"
"I dare pawn down my life for him that he hath","EDMUND"
"writ this to feel my affection to your Honor, and to","EDMUND"
"no other pretense of danger.","EDMUND"
"  Think you so?","GLOUCESTER"
"  If your Honor judge it meet, I will place you","EDMUND"
"where you shall hear us confer of this, and by an","EDMUND"
"auricular assurance have your satisfaction, and that","EDMUND"
"without any further delay than this very evening.","EDMUND"
"  He cannot be such a monster.","GLOUCESTER"
"  Nor is not, sure.","EDMUND"
"  To his father, that so tenderly and entirely","GLOUCESTER"
"loves him! Heaven and Earth! Edmund, seek him","GLOUCESTER"
"out; wind me into him, I pray you. Frame the","GLOUCESTER"
"business after your own wisdom. I would unstate","GLOUCESTER"
"myself to be in a due resolution.","GLOUCESTER"
"  I will seek him, sir, presently, convey the","EDMUND"
"business as I shall find means, and acquaint you","EDMUND"
"withal.","EDMUND"
"  These late eclipses in the sun and moon","GLOUCESTER"
"portend no good to us. Though the wisdom of","GLOUCESTER"
"nature can reason it thus and thus, yet nature finds","GLOUCESTER"
"itself scourged by the sequent effects. Love cools,","GLOUCESTER"
